nama_lomba,bidang_utama,kategori,tema,jumlah_peserta,hadiah,start_date,deadline_date,penyelenggara
festival venture challenge medan   ,Bisnis & Ekonomi,Pengembangan UMKM,Green Economy,3504,24000000,,2024-09-12,KEMENTERIAN KOPERASI DAN UKM
Kompetisi Medical Hackathon Malang,Kesehatan,Kesehatan Mental,Inovasi Alat Medis,2226,24000000,,2025-08-31,who indonesia   
NATIONAL CODEFEST 2025,Tech & IT,Data Science,Aplikasi Layanan Publik,753,13000000,,2025-04-28,Tech Community
Kompetisi Health Challenge Makassar,Kesehatan,Kesehatan Masyarakat,Telemedicine Inklusif,3543,38000000,,2024-10-13,Penyelenggara Independen
Sociopreneur Samarinda 2026,Bisnis & Ekonomi,Kemanusiaan,Energi Terbarukan,2090,7000000,,2026-05-16,Kementerian Sosial
CODEFEST PONTIANAK 2026,Tech & IT,Cyber Security,Umum - Tech & IT,2978,48000000,,2026-10-01,Tech Community
National Preneur Olympiad 2026,Bisnis & Ekonomi,Fintech,Ekonomi Sirkular,548,50000000,,2026-10-01,Bursa Efek Indonesia
gelar gagasan medis nasional   ,Kesehatan,Kesehatan Masyarakat,Pencegahan Stunting,1207,12000000,,2026-11-09,Ikatan Dokter Indonesia
Gelar Venture Challenge Palembang,Lainnya,Business Plan,Ekonomi Sirkular,1203,29000000,,2026-09-11,inkubator bisnis univ   
Gelar Preneur Olympiad Balikpapan,Bisnis & Ekonomi,Kewirausahaan,Green Economy,-3052,35000000,,2024-11-01,Penyelenggara Independen
KOMPETISI PITCHING SUMMIT JAKARTA,Bisnis & Ekonomi,Umum - Bisnis & Ekonomi,Strategi Pemasaran Gen Z,1020,30000000,,2025-06-19,Kementerian Koperasi dan UKM
Gelar Business Case Manado,Bisnis & Ekonomi,Kewirausahaan,Green Economy,3175,22000000,,2025-09-28,BCA
Festival CodeFest Pekanbaru,Tech & IT,UI/UX Design,Blockchain for Good,641,9000000,,2026-12-17,PT Telkom Indonesia
Eco Summit Malang 2026,Sosial & Lingkungan,Umum - Sosial & Lingkungan,Aksi Tanggap Bencana,348,24000000,,2026-08-20,UNICEF Indonesia
Festival Sociopreneur Nasional,Sosial & Lingkungan,Kemanusiaan,Pengurangan Sampah Plastik,1921,24000000,,2024-02-05,UNICEF Indonesia
NATIONAL DEVFEST 2024,Tech & IT,UI/UX Design,Data Privacy,1435,42000000,,2024-11-17,kementerian kominfo   
Gelar Aksi Baik Nasional,Sosial & Lingkungan,Kemanusiaan,Aksi Tanggap Bencana,1921,12000000,,2024-06-26,UNICEF INDONESIA
Gelar Health Challenge Bali,Kesehatan,Kesehatan Masyarakat,Telemedicine Inklusif,1804,33000000,,2026-04-14,Kementerian Kesehatan RI
DATATHON MAKASSAR 2024,Tech & IT,Cyber Security,Aplikasi Layanan Publik,738,29000000,,2026-04-14,PT TELKOM INDONESIA
Startup Fest Pontianak 2026,Bisnis & Ekonomi,Pengembangan UMKM,Strategi Pemasaran Gen Z,921,25000000,,2026-05-30,Bank Indonesia
Gelar CodeFest Pekanbaru,Tech & IT,Data Science,Aplikasi Layanan Publik,-2694,32000000,,2024-03-26,Tech Community
Venture Challenge Yogyakarta 2024,Bisnis & Ekonomi,Kewirausahaan,Green Economy,2090,6000000,,2024-02-09,Inkubator Bisnis Univ
National Med Inno 2025,Kesehatan,Kesehatan Mental,Pencegahan Stunting,335,31000000,,2025-11-28,Yayasan Peduli Sehat
gelar devfest semarang   ,Tech & IT,Cyber Security,Blockchain for Good,3091,14000000,,2025-03-27,PT Telkom Indonesia
FESTIVAL STARTUP FEST NASIONAL,Bisnis & Ekonomi,Marketing,Green Economy,2090,39000000,,2026-06-17,Bank Indonesia
National Medical Hackathon 2025,Kesehatan,Gizi dan Nutrisi,Inovasi Alat Medis,1804,35000000,,2025-02-13,Kementerian Kesehatan RI
Hackathon Yogyakarta 2024,Tech & IT,Software Development,Smart City,122,29000000,,2024-08-28,Tech Community
FESTIVAL PRENEUR OLYMPIAD MAKASSAR,Bisnis & Ekonomi,Kewirausahaan,Ekonomi Sirkular,2169,19000000,,2026-05-03,Inkubator Bisnis Univ
Kompetisi Tech Challenge Bengkulu,Tech & IT,Data Science,Smart City,2627,35000000,,2024-03-14,Kementerian Kominfo
National Med Inno 2025,Kesehatan,Teknologi Medis,Telemedicine Inklusif,1825,36000000,,2025-11-01,WHO Indonesia
Kompetisi Startup Fest Pontianak,Bisnis & Ekonomi,Fintech,Strategi Pemasaran Gen Z,1452,41000000,,2024-08-03,Bursa Efek Indonesia
KOMPETISI IDEATHON MALANG,Tech & IT,UI/UX Design,Umum - Tech & IT,1245,39000000,,2024-06-10,Google Developer Group
Kompetisi Medical Hackathon Palembang,Kesehatan,Gizi dan Nutrisi,Awareness Kesehatan Mental,914,29000000,2025-10-01,2024-06-10,Kementerian Kesehatan RI
Festival Tech Challenge Semarang,Tech & IT,Data Science,Blockchain for Good,1911,18000000,,2026-04-18,Google Developer Group
festival eco summit samarinda   ,Sosial & Lingkungan,Kemanusiaan,Aksi Tanggap Bencana,1921,19000000,,2024-07-01,WWF Indonesia
National Hackathon 2024,Tech & IT,Software Development,Blockchain for Good,2301,24000000,2024-03-02,2024-05-06,Kementerian Kominfo
NATIONAL MED INNO 2024,Kesehatan,Kesehatan Masyarakat,Awareness Kesehatan Mental,2471,46000000,,2024-05-25,Ikatan Dokter Indonesia
DATATHON BENGKULU 2026,Tech & IT,Data Science,Blockchain for Good,2012,35000000,,2024-05-25,GOOGLE DEVELOPER GROUP
National Sociopreneur 2026,Sosial & Lingkungan,Pemberdayaan Masyarakat,Umum - Sosial & Lingkungan,1370,47000000,,2026-05-02,WWF Indonesia
